name,type,power,latitude,longitude,# of chargers,cost,EVCO,0:00,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,peak utilisation,capacity,when peak
1 Woodlands Height (Koufu HQ),AC,22,1.428595,103.799435,3,0.59,CDGE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0.034482759,0.034482759,0,0.034482759,0.379310345,0.689655172,1.206896552,1.448275862,1.466666667,1.533333333,1.5,1.433333333,1.333333333,1.233333333,1.2,1.166666667,1.033333333,0.933333333,0.9,0.9,0.833333333,0.586206897,0.517241379,0.344827586,0.310344828,0.275862069,0.206896552,0.2,0.2,0.1,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.166666667,0.137931034,0.137931034,0.137931034,0.137931034,0.172413793,0.1,0.1,0.064516129,0,0.032258065,0.064516129,0.032258065,0.064516129,0.064516129,0.032258065,0.064516129,0.066666667,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,1.533333333,3,9:45
1 Woodlands Height (Koufu HQ),DC,120,1.428095,103.799435,2,0.64,CDGE,0.233333333,0.266666667,0.206896552,0.137931034,0.103448276,0.172413793,0.24137931,0.206896552,0.172413793,0.103448276,0.103448276,0.068965517,0.068965517,0.068965517,0.068965517,0.068965517,0.068965517,0.068965517,0.068965517,0.206896552,0.206896552,0.137931034,0.103448276,0.068965517,0.068965517,0.068965517,0.068965517,0.24137931,0.24137931,0.206896552,0.24137931,0.310344828,0.310344828,0.24137931,0.310344828,0.413793103,0.379310345,0.24137931,0.166666667,0.166666667,0.2,0.166666667,0.2,0.4,0.433333333,0.5,0.433333333,0.3,0.4,0.3,0.4,0.517241379,0.448275862,0.586206897,0.517241379,0.379310345,0.310344828,0.4,0.4,0.5,0.733333333,0.866666667,0.6,0.766666667,0.866666667,0.966666667,0.724137931,0.827586207,0.896551724,0.689655172,0.655172414,0.7,0.766666667,0.741935484,0.580645161,0.580645161,0.612903226,0.580645161,0.516129032,0.483870968,0.580645161,0.612903226,0.666666667,0.6,0.433333333,0.333333333,0.333333333,0.333333333,0.333333333,0.366666667,0.433333333,0.4,0.466666667,0.333333333,0.3,0.266666667,0.966666667,2,16:15
313@Somerset - AC,AC,22,1.301019,103.838766,1,0.53,Keppel Volt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0.034482759,0.068965517,0.066666667,0.066666667,0.033333333,0.066666667,0.1,0.1,0.066666667,0.1,0.1,0.066666667,0.066666667,0.133333333,0.166666667,0.172413793,0.24137931,0.24137931,0.24137931,0.206896552,0.206896552,0.166666667,0.133333333,0.133333333,0.1,0.133333333,0.133333333,0.1,0.066666667,0.033333333,0.034482759,0.034482759,0.034482759,0.068965517,0.068965517,0.166666667,0.133333333,0.225806452,0.225806452,0.258064516,0.322580645,0.258064516,0.258064516,0.225806452,0.161290323,0.129032258,0.033333333,0.033333333,0.033333333,0.033333333,0,0,0,0,0,0,0,0,0,0,0.322580645,1,19:00
313@Somerset - DC,DC,30,1.300919,103.838766,2,0.6,Keppel Volt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0.033333333,0.033333333,0.066666667,0.033333333,0.066666667,0.033333333,0.033333333,0.133333333,0.172413793,0.103448276,0.103448276,0.034482759,0.034482759,0.068965517,0.1,0.066666667,0.033333333,0.033333333,0.033333333,0.033333333,0.066666667,0.066666667,0.033333333,0.103448276,0.103448276,0.413793103,0.482758621,0.551724138,0.6,0.466666667,0.548387097,0.580645161,0.677419355,0.64516129,0.516129032,0.483870968,0.483870968,0.516129032,0.35483871,0.366666667,0.3,0.066666667,0.033333333,0.033333333,0.033333333,0.033333333,0,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0,0.677419355,2,18:45
9 Penang Road,AC,7.4,1.298162,103.845146,4,0.5,Shell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0.034482759,0.034482759,0.034482759,0.142857143,0.134453782,0.133333333,0.133333333,0.133333333,0.134453782,0.168067227,0.133333333,0.133333333,0.133333333,0.066666667,0.066666667,0.066666667,0.1,0.103448276,0.068965517,0.034482759,0.034482759,0.034482759,0.034482759,0.066666667,0.033333333,0.066666667,0.066666667,0.066666667,0.033333333,0.033333333,0.033333333,0.033333333,0.034482759,0.034482759,0.103448276,0.068965517,0.068965517,0.066666667,0.066666667,0.064516129,0.064516129,0.032258065,0,0.064516129,0.064516129,0.064516129,0.096774194,0.096774194,0.1,0.1,0.066666667,0.066666667,0.066666667,0.066666667,0.033333333,0.033333333,0,0,0,0,0,0,0.168067227,4,10:45
AMK Hub,AC,22,1.369545,103.848438,2,0.5,Keppel Volt,0.166666667,0.133333333,0.172413793,0.172413793,0.172413793,0.172413793,0.172413793,0.172413793,0.137931034,0.068965517,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0,0,0,0,0,0,0,0,0,0,0.034482759,0.034482759,0.034482759,0.068965517,0.068965517,0.034482759,0.068965517,0.24137931,0.344827586,0.413793103,0.448275862,0.517241379,0.586206897,0.566666667,0.566666667,0.466666667,0.533333333,0.5,0.533333333,0.666666667,0.733333333,0.633333333,0.6,0.633333333,0.733333333,0.833333333,0.896551724,0.931034483,0.862068966,0.931034483,0.827586207,0.75862069,0.633333333,0.533333333,0.566666667,0.6,0.7,0.7,0.666666667,0.733333333,0.8,0.586206897,0.551724138,0.551724138,0.551724138,0.620689655,0.6,0.566666667,0.612903226,0.741935484,0.903225806,0.838709677,0.935483871,0.935483871,0.870967742,1,0.870967742,0.833333333,0.7,0.566666667,0.466666667,0.4,0.166666667,0.133333333,0.1,0.1,0.166666667,0.166666667,0.133333333,0.133333333,0.166666667,1,2,20:00
AutoBay @ Kaki Bukit,DC,120,1.341798,103.91281,2,0.64,CDGE,0.066666667,0.066666667,0.034482759,0.034482759,0.034482759,0.068965517,0.034482759,0,0,0,0,0,0,0.068965517,0.172413793,0.137931034,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0,0.034482759,0.034482759,0,0,0.068965517,0.068965517,0.068965517,0,0.103448276,0.206896552,0.275862069,0.172413793,0.103448276,0.034482759,0.034482759,0.066666667,0.033333333,0,0.033333333,0.033333333,0.066666667,0,0,0.033333333,0.033333333,0.033333333,0.066666667,0.133333333,0.103448276,0.103448276,0.068965517,0.034482759,0.172413793,0.24137931,0.166666667,0.133333333,0.133333333,0.2,0.2,0.166666667,0.266666667,0.466666667,0.4,0.379310345,0.275862069,0.206896552,0.172413793,0.034482759,0.066666667,0.1,0.129032258,0.161290323,0.193548387,0.193548387,0.193548387,0.129032258,0.096774194,0.032258065,0.064516129,0.033333333,0.133333333,0.3,0.266666667,0.233333333,0.2,0.2,0.166666667,0.1,0.066666667,0.1,0.1,0.1,0.066666667,0.466666667,2,16:00
BreadTalk IHQ,AC,22,1.334571,103.88958,2,0.53,Keppel Volt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103448276,0.103448276,0.103448276,0.068965517,0.24137931,0.448275862,0.482758621,0.517241379,0.566666667,0.566666667,0.5,0.5,0.533333333,0.233333333,0.2,0.233333333,0.266666667,0.366666667,0.3,0.466666667,0.4,0.448275862,0.310344828,0.482758621,0.448275862,0.413793103,0.379310345,0.433333333,0.4,0.366666667,0.3,0.2,0.2,0.2,0.233333333,0.2,0.172413793,0.103448276,0.103448276,0.103448276,0.137931034,0.1,0.1,0.129032258,0.129032258,0.161290323,0.225806452,0.258064516,0.258064516,0.258064516,0.193548387,0.129032258,0.133333333,0.1,0.1,0.033333333,0,0,0,0,0,0,0,0,0,0,0.566666667,2,9:30
Centro Residences (Private Use),AC,22,1.370509,103.848679,2,0.53,Keppel Volt,0.1,0.1,0.103448276,0.103448276,0.103448276,0.103448276,0.103448276,0.103448276,0.103448276,0.103448276,0.103448276,0.103448276,0.103448276,0.103448276,0.137931034,0.137931034,0.103448276,0.103448276,0.103448276,0.103448276,0.103448276,0.103448276,0.068965517,0.068965517,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0.068965517,0.068965517,0.068965517,0.068965517,0.068965517,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.066666667,0.066666667,0.066666667,0.066666667,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0.034482759,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0.033333333,0,0,0,0,0,0,0,0,0.064516129,0.064516129,0.096774194,0.129032258,0.129032258,0.129032258,0.129032258,0.129032258,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.166666667,0.166666667,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.133333333,0.166666667,2,21:45
Centro Residences (Private Use),DC,50,1.370409,103.848679,1,0.6,Keppel Volt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034482759,0.034482759,0.068965517,0.034482759,0.034482759,0.034482759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0.033333333,0.033333333,0.033333333,0,0.033333333,0.033333333,0.066666667,0.066666667,0.068965517,0.068965517,0.034482759,0.034482759,0.034482759,0.034482759,0.033333333,0,0,0,0,0,0.033333333,0.033333333,0.033333333,0.034482759,0,0,0.034482759,0.034482759,0.066666667,0.066666667,0.064516129,0,0,0,0,0,0,0,0,0,0.033333333,0.066666667,0.033333333,0,0,0,0.033333333,0.033333333,0.033333333,0,0,0,0,0.068965517,1,4:00
